Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-11-15,2463.5,2463.53,2431.5,2444.58,9060849
2005-11-16,2451.25,2475.4,2426.63,2446.7,10351394
2005-11-17,2461.27,2502.75,2457.78,2501.28,11166389
2005-11-18,2526.18,2530.62,2492.28,2500.37,7871323
2005-11-21,2510.52,2511.84,2471.61,2471.61,6158205
2005-11-22,2492.05,2493.61,2447.57,2452.2,7684860
2005-11-23,2456.44,2476.62,2444.32,2466.47,5850982
2005-11-24,2476.55,2479.49,2459.25,2467.49,7005719
2005-11-25,2481.92,2481.92,2460.24,2479.97,21015232
2005-11-28,2501.11,2521.96,2489.01,2504.79,8798722
2005-11-29,2496.19,2511.87,2481.8,2511.87,8624542
2005-11-30,2502.62,2534.78,2494.92,2525.39,8656040
2005-12-01,2529.32,2546.72,2526.99,2539.8,7301130
2005-12-02,2570.7,2581.72,2542.54,2581.72,13378334
2005-12-05,2584.63,2599.54,2566.05,2570.98,12044832
2005-12-06,2572.64,2574.92,2531.92,2546.78,13665962
2005-12-07,2549.82,2573.2,2542.71,2569.45,4366004
2005-12-08,2556.58,2570.82,2555.04,2564.56,6069381
2005-12-09,2570.05,2571.65,2539.51,2558.19,8004341
2005-12-12,2564.43,2583.98,2561.35,2572.49,7583401
2005-12-13,2572.68,2586.12,2566.23,2566.23,8997156
2005-12-14,2570.98,2610.89,2564.97,2601.96,22934980
2005-12-15,2606.59,2620.63,2583.71,2583.71,6711257
2005-12-16,2587.41,2608.47,2574.5,2596.16,9550239
2005-12-19,2602.05,2614.27,2596.06,2604.88,8103772
2005-12-20,2602.01,2656.88,2596.72,2642.61,25139486
2005-12-21,2647.79,2659.79,2636.43,2648.08,24511810
2005-12-22,2652.12,2655.61,2633.46,2641.33,7274103
2005-12-23,2640.68,2665.65,2639.09,2662.32,8216178
2005-12-27,2658.27,2699.07,2657.39,2699.07,7500700
2005-12-28,2702.49,2702.61,2673.16,2683.29,7515745
2005-12-29,2691.04,2701.65,2681.63,2693.75,8130335
2005-12-30,2683.6,2683.89,2644.05,2654.95,7944119
2006-01-02,2640.23,2694.92,2627.03,2694.92,14822116
2006-01-03,2703.19,2764.89,2698.59,2749.46,20960700
2006-01-04,2787.66,2829.38,2772.89,2829.38,22948596
2006-01-05,2831.74,2838.86,2810.95,2825.71,18082740
2006-01-06,2833,2877.29,2811.5,2854.25,20954744
2006-01-09,2887.52,2918.95,2835.53,2835.53,22216212
2006-01-10,2834.93,2845.96,2797.09,2797.09,16059518
2006-01-11,2829.32,2864.83,2820.02,2850.35,17284616
2006-01-12,2844.72,2845.49,2815.25,2833.16,13197111
2006-01-13,2791.2,2798.65,2776.01,2785.54,13270874
2006-01-16,2779.91,2839.08,2774.21,2835.21,13500326
2006-01-17,2831.47,2846.48,2814.83,2831.09,14326784
2006-01-18,2771.3,2812.3,2768.7,2808.8,9954206
2006-01-19,2828.37,2904.99,2825.81,2886.48,17665508
2006-01-20,2899.69,2921.54,2894.42,2909.77,13461621
2006-01-23,2865.54,2915.91,2848.65,2903.69,12622758
2006-01-24,2919.75,2940.71,2886.27,2907.05,14633975
2006-01-25,2944.21,2961.5,2924.51,2953.72,26588866
2006-01-26,2975.73,2975.73,2916.69,2923.61,17501428
2006-01-27,2940.6,2954.02,2896.19,2937.66,11576996
2006-01-30,2937.05,2950.59,2917.04,2937.92,7804766
2006-01-31,2918.12,2918.12,2803.86,2804.92,16496757
2006-02-01,2763.48,2825.97,2759.32,2823.09,11889880
2006-02-02,2847.9,2852.29,2809.8,2819.26,12453365
2006-02-03,2803.47,2812.35,2753.78,2760.65,10703971
2006-02-06,2779,2839.9,2779,2837.48,8625605
2006-02-07,2850.59,2856.27,2810.4,2852.57,8599434
2006-02-08,2815.92,2842.88,2781.49,2828.54,7871797
2006-02-09,2850.05,2863.19,2833.47,2840.24,8758296
2006-02-10,2829.28,2837.79,2784.92,2791.75,9347804
2006-02-13,2760.01,2800.51,2759.33,2768.02,8605026
2006-02-14,2793.97,2807.55,2778.7,2790.37,7872946
2006-02-15,2807.56,2813.91,2785.35,2813.91,8886666
2006-02-16,2813.92,2820.01,2762.93,2762.93,12858643
2006-02-17,2777.45,2861.9,2769.2,2859.61,17637644
2006-02-20,2878.52,2920.69,2867.44,2906.41,12864309
2006-02-21,2914.71,2916.64,2881.65,2897.71,10189110
2006-02-22,2900.61,2912.28,2881.41,2896.04,9005848
2006-02-23,2896.02,2913.41,2889.31,2899.8,12752919
2006-02-24,2903.81,2941.49,2896.2,2941.38,7952180
2006-02-27,2952.93,2965.57,2929.46,2955.74,20576676
2006-02-28,2889.23,2925.64,2816.42,2836.51,18530720
2006-03-01,2858.82,2882.72,2839.46,2876.12,17440836
2006-03-02,2888.22,2913.5,2867.44,2904.62,17568678
2006-03-03,2914.16,2919.02,2845.72,2886.51,16246359
2006-03-06,2889.23,2908.82,2867.66,2908.82,13656693
2006-03-07,2886.99,2886.99,2800.51,2842.63,19536056
2006-03-08,2834.74,2840.2,2754.93,2769.73,17125380
2006-03-09,2788.91,2803.19,2755.55,2776.08,15706684
2006-03-10,2775.6,2781.51,2718.94,2757.95,12769169
2006-03-13,2771.66,2779.32,2734.58,2759.41,8405066
2006-03-14,2745.68,2745.68,2717.97,2727.77,18704086
2006-03-15,2760.27,2793.91,2759.46,2773.21,16327592
2006-03-16,2789.61,2834.5,2781.62,2833.52,12797956
2006-03-17,2853.22,2884.35,2831.34,2831.34,27721860
2006-03-20,2835.95,2852.57,2820.73,2826.05,9325900
2006-03-21,2816.55,2827.71,2796.63,2806.52,9809593
2006-03-22,2780.23,2800.96,2763.91,2791.97,10920992
2006-03-23,2804.59,2837.46,2804.59,2836.91,9202766
2006-03-24,2858.26,2874.58,2844.41,2847.82,10374434
2006-03-27,2853.23,2874.58,2849.4,2874.58,7410427
2006-03-28,2873.01,2873.88,2830.39,2830.39,8837769
2006-03-29,2808.45,2827.22,2774.39,2827.22,10389190
2006-03-30,2853.74,2883.49,2850.83,2864.53,7131884
2006-03-31,2869.05,2878.44,2840.85,2864.83,5982534
2006-04-03,2862.56,2912.05,2859.69,2912.05,8976887
2006-04-04,2908.56,2918.07,2886.9,2918.07,7604157
2006-04-05,2930.92,2950.96,2898.11,2899.24,9665812
2006-04-06,2930.1,2935.47,2906.57,2921.21,14837300
2006-04-07,2940.02,2988.31,2937.7,2974.21,26174580
2006-04-10,2980.87,2997.45,2964.04,2987.89,18440304
2006-04-11,2983.37,3002.45,2954.05,2970.61,12875822
2006-04-12,2951.57,2998.18,2946.72,2998.18,18990700
2006-04-13,3005.5,3043.76,3005.08,3023.69,21824454
2006-04-18,3052.7,3098.58,3051.11,3081.25,16563371
2006-04-19,3127.82,3131.23,3058.9,3070.81,14930350
2006-04-20,3079.03,3149.33,3054.2,3149.33,20395620
2006-04-21,3108.12,3209.22,3086.31,3185.67,24021160
2006-04-24,3182.17,3241.58,3177.51,3229.22,15834084
2006-04-25,3222.37,3231.37,3182.9,3220.83,11546999
2006-04-26,3242.55,3262.83,3198.61,3262.83,19158168
2006-04-27,3273.06,3274.66,3140.37,3167.13,18426160
2006-04-28,3156.71,3198.16,3149.32,3193.27,13900152
2006-05-02,3185.56,3208.73,3180.93,3186.5,8383616
2006-05-04,3205.93,3258.36,3193.04,3254.1,16365896
2006-05-05,3287.47,3298.37,3235.42,3282.02,14072426
2006-05-08,3330.28,3342.11,3291.83,3327.19,12293222
2006-05-09,3307.08,3309.17,3259.91,3265.93,15212216
2006-05-10,3283.91,3290.6,3246.97,3252.48,12333683
2006-05-11,3286.01,3348.81,3273.04,3347.83,28310780
2006-05-12,3309.82,3321.32,3273.26,3298.03,12989149
2006-05-15,3255.96,3263.79,3169.06,3180.28,15538689
2006-05-16,3130.99,3173.19,3091.06,3163.02,27277376
2006-05-17,3179.92,3200.89,3059.75,3065.42,27428648
2006-05-18,3021.56,3074.33,2995.43,3052.59,18622644
2006-05-19,3077.13,3090.38,3009.96,3031.52,18523660
2006-05-22,2997.61,3000.56,2852.53,2862.68,22831068
2006-05-23,2852.3,2931.18,2750.18,2913.11,37428796
2006-05-24,2876.47,2926.51,2778.24,2794.06,23515456
2006-05-25,2789.96,2863.32,2711.55,2843.49,23802920
2006-05-26,2901.63,2913.09,2868.3,2880.16,20828914
2006-05-29,2916.87,2929.06,2859.49,2867.85,10470535
2006-05-30,2838.55,2843.64,2788.5,2827.39,11686876
2006-05-31,2761.72,2853.69,2755.36,2812.26,35254356
2006-06-01,2844.03,2858.45,2813.82,2837.98,12823411
2006-06-02,2884.59,2926.33,2878.32,2912.81,11597163
2006-06-05,2902.43,2963.9,2893.44,2933.68,8170017
2006-06-06,2886.98,2909,2848.47,2855.91,9666868
2006-06-07,2873.39,2877.35,2821.53,2849.59,15050190
2006-06-08,2776.76,2788.9,2740.22,2777.33,29780038
2006-06-09,2798.91,2814.27,2720.88,2736.85,15198122
2006-06-12,2712.74,2712.74,2610.18,2641.02,16966540
2006-06-13,2524.5,2574.89,2449.79,2545.87,34352776
2006-06-14,2554.72,2571.51,2474.28,2536.93,25098312
2006-06-16,2658.22,2669.26,2553.32,2553.32,20821094
2006-06-19,2591.92,2623.66,2566.73,2622.4,11268660
2006-06-20,2590.58,2649.7,2585.34,2619.38,15274148
2006-06-21,2626.12,2650.25,2583.5,2632.24,17290192
2006-06-22,2681.96,2694.53,2606.03,2606.03,17843748
2006-06-23,2611.4,2623.31,2578.02,2619.05,11224398
2006-06-26,2614.7,2665.2,2614.7,2665.2,13588047
2006-06-27,2682.45,2801.54,2677.68,2795,28985440
2006-06-28,2750.57,2850.48,2746.58,2850.48,40022936
2006-06-29,2858.78,2884.41,2823.64,2842.29,19988544
2006-06-30,2924.64,2933.77,2872.9,2889.67,20906488
2006-07-03,2901.84,2920.81,2858.39,2895.66,11669788
2006-07-04,2899.24,2928.86,2890.81,2910.84,24964272
2006-07-05,2878.9,2892.26,2833.93,2845.06,18195770
2006-07-06,2845.32,2935.92,2832.29,2935.92,20981292
2006-07-07,2937.53,3015.78,2920.33,3004.64,23965764
2006-07-10,2939.87,3074.78,2939.87,3046.17,33422022
2006-07-11,3053.12,3085.01,3008.37,3015.5,29908462
2006-07-12,3053.26,3110.65,3042.61,3066.26,18887052
2006-07-13,3042.68,3047.26,2916.44,2930.5,14143013
2006-07-14,2863.66,2946.14,2863.66,2919.45,14605025
2006-07-17,2923.07,2929.51,2858.21,2866.86,13824621
2006-07-18,2866.2,2932.09,2866.2,2917.75,13092442
2006-07-19,2923.32,2941.9,2897.49,2934.78,10216843
2006-07-20,3001.93,3052.8,2992.99,3045.11,24979184
2006-07-21,3018.58,3049.41,3008.85,3024.01,10182999
2006-07-24,3013.6,3043.81,3003.42,3035.74,9757922
2006-07-25,3054.05,3086.71,3030.34,3059.43,17782252
2006-07-26,3058.63,3087.78,3038.36,3075.32,15126343
2006-07-27,3110.64,3186.32,3099.05,3186.32,21805622
2006-07-28,3176.8,3206.38,3150.42,3191.3,19593160
