Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-04-27,10.0727,10.1075,9.74826,9.84647,1973869.6607972
2005-04-28,9.81181,9.84647,9.64617,9.68374,946184.26498923
2005-04-29,9.71454,9.78003,9.68374,9.78003,487559.19589609
2005-05-02,9.81181,9.84647,9.74826,9.74826,434733.61966718
2005-05-04,9.81181,10.041,9.78003,9.97355,1931266.5137485
2005-05-05,10.0727,10.2038,10.0101,10.1075,836808.21884293
2005-05-06,10.3376,10.3376,10.0727,10.2355,1256867.6058054
2005-05-09,10.2721,10.2721,9.97355,10.041,751505.34958161
2005-05-10,10.1402,10.1739,9.87729,9.97355,674021.95327102
2005-05-11,9.84647,10.0727,9.84647,10.041,2374870.5103008
2005-05-12,10.041,10.1075,9.87729,9.87729,1716035.7803903
2005-05-13,9.78003,9.78003,9.38714,9.5181,3143030.4026691
2005-05-16,9.48536,9.48536,9.22343,9.35632,633355.5017141
2005-05-17,9.45358,9.45358,9.05982,9.19165,2147914.721287
2005-05-18,9.25906,9.32069,9.05982,9.28891,2502318.5734141
2005-05-19,9.45358,9.48536,9.32069,9.48536,3633144.1674177
2005-05-20,9.45358,9.61633,9.32069,9.35632,1679408.8706366
2005-05-23,9.38714,9.48536,9.32069,9.35632,708243.82990997
2005-05-24,9.35632,9.38714,9.19165,9.35632,783846.60663042
2005-05-25,9.35632,9.48536,9.35632,9.45358,830293.02982662
2005-05-27,9.5181,9.61633,9.48536,9.61633,1005357.8409722
2005-05-30,9.61633,9.68374,9.58551,9.58551,682438.53072994
2005-05-31,9.5181,9.61633,9.38714,9.61633,1630121.2684241
2005-06-01,9.5181,9.61633,9.48536,9.58551,1093194.5102335
2005-06-02,9.58551,10.0727,9.58551,10.0727,4809242.7444535
2005-06-03,10.2038,10.3376,10.1739,10.2355,2732744.8376738
2005-06-06,10.3029,10.4349,10.2721,10.3684,1732371.5212918
2005-06-07,10.4349,10.665,10.3684,10.5639,3086687.6212763
