Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-04-29,53.93,54.7494,53.5159,53.5159,508040.21418039
2005-05-02,53.5159,54.3352,53.3076,53.5159,205758.23795644
2005-05-04,54.3352,55.1601,54.1293,54.7494,792322.71158453
2005-05-05,55.1601,55.9843,54.1293,54.5442,213848.03055699
2005-05-06,54.7494,54.9551,53.7193,54.3352,301365.21565361
2005-05-09,54.9551,55.5742,54.7494,54.9551,337075.51760015
2005-05-10,55.1601,55.3692,53.3076,53.93,907931.17496867
2005-05-11,51.2509,52.0759,51.0434,51.0434,286109.82421667
2005-05-12,51.4551,52.0759,51.4551,51.8676,216786.61984466
2005-05-13,51.8676,52.0759,51.0434,51.0434,441376.85432805
2005-05-16,51.2509,51.6626,50.8392,51.0434,82213.601310556
2005-05-17,51.4551,52.4835,51.0434,52.4835,325098.16463504
2005-05-18,52.4835,54.3352,52.2793,54.1293,618001.92799741
2005-05-19,54.3352,54.5442,53.7193,54.3352,99780.71602355
2005-05-20,54.3352,55.3692,54.1293,54.3352,410650.50883358
2005-05-23,54.1293,54.1293,52.8944,53.7193,588789.47630966
2005-05-24,53.93,53.93,52.4835,53.5159,505235.42238137
2005-05-25,53.5159,53.93,53.3076,53.5159,264050.58270894
2005-05-27,53.93,56.3943,53.93,56.3943,1406678.6580163
2005-05-30,56.5978,56.5978,55.78,55.9843,299941.75903829
2005-05-31,55.9843,56.3943,55.9843,56.3943,740292.83262005
2005-06-01,55.9843,56.1893,55.3692,55.78,689184.66968847
2005-06-02,55.9843,57.2176,55.78,55.78,552791.75753565
2005-06-03,55.78,58.0435,55.78,57.2176,588119.25000079
2005-06-06,57.4235,60.1002,57.2176,60.1002,783831.52651804
2005-06-07,60.1002,60.7201,58.2476,60.5167,1606469.280206
2005-06-08,59.6869,60.9258,59.6869,60.5167,1075921.3551578
2005-06-09,60.306,61.7509,60.306,61.34,761914.75455841
2005-06-10,61.34,61.5394,60.1002,60.306,1136937.965443
2005-06-13,59.6869,61.34,59.0717,60.1002,380498.99699403
2005-06-14,60.306,60.5167,59.2768,59.4818,172192.41242513
2005-06-15,59.6869,61.1301,59.4818,60.9258,200925.42311191
2005-06-16,61.1301,61.1301,58.8612,58.8612,467225.78581512
2005-06-17,58.8612,60.7201,58.8612,60.7201,1205662.797713
2005-06-20,60.1002,60.9258,60.1002,60.5167,584109.04193831
2005-06-21,60.306,60.5167,60.1002,60.5167,496875.55707225
2005-06-22,60.306,62.5678,60.306,61.34,1301759.1273363
2005-06-23,61.7509,61.7509,60.306,60.7201,324876.40768627
2005-06-24,60.1002,60.306,59.0717,60.1002,404084.52096483
2005-06-27,59.896,60.1002,58.6569,59.4818,313556.89237367
2005-06-28,59.4818,59.896,58.4519,59.2768,407985.70885137
2005-06-29,59.6869,59.6869,58.4519,59.0717,462552.78463759
2005-06-30,58.4519,59.2768,58.0435,59.2768,553443.40085998
2005-07-01,59.0717,60.1002,58.6569,60.1002,583861.26881119
2005-07-04,60.1002,60.5167,59.2768,59.6869,531297.43875776
2005-07-05,59.2768,59.6869,58.8612,59.2768,1154953.5495161
2005-07-06,58.8612,60.7201,58.8612,58.8612,763412.54311186
2005-07-07,59.2768,59.2768,56.5978,57.6333,628952.2613506
2005-07-08,57.8319,58.6569,57.8319,58.6569,145885.10065289
2005-07-11,59.0717,59.0717,58.4519,58.4519,153833.66257098
2005-07-12,58.6569,59.896,57.8319,59.896,259831.00635404
2005-07-13,59.2768,60.9258,59.2768,59.2768,578691.48251377
2005-07-14,59.6869,60.1002,59.2768,59.2768,152281.36392956
2005-07-15,58.8612,59.2768,58.6569,58.8612,221126.36616622
2005-07-18,58.8612,59.6869,58.0435,58.4519,583338.46751296
2005-07-19,58.2476,58.8612,57.8319,58.8612,755712.99318653
2005-07-20,58.8612,59.4818,58.0435,58.8612,455476.38412697
2005-07-21,59.0717,59.2768,58.0435,58.0435,508066.23035874
2005-07-22,58.0435,58.2476,57.0126,57.0126,593668.1291827
2005-07-25,57.2176,58.0435,56.8084,57.8319,173693.9175755
2005-07-26,58.2476,58.4519,57.8319,58.0435,346753.53594556
2005-07-27,58.0435,59.896,57.6333,59.6869,612611.62361686
2005-07-28,60.1002,60.9258,59.2768,60.7201,347315.98094413
2005-07-29,60.9258,62.7792,60.7201,62.5678,1078411.4750854
2005-08-01,61.9542,62.9785,61.5394,62.1601,531410.1755306
2005-08-02,62.3643,64.8351,62.3643,64.4258,463123.90169561
2005-08-03,63.8051,64.0158,62.7792,62.9785,702327.79521669
2005-08-04,62.1601,63.8051,62.1601,63.3943,297639.94668732
2005-08-05,63.8051,65.6593,63.8051,64.6301,551557.84736258
2005-08-08,64.6301,67.0977,64.6301,66.8869,224419.27102568
2005-08-09,67.0977,68.3294,67.0977,68.3294,893682.98129349
2005-08-10,68.7403,71.2135,67.7111,68.3294,1252184.6800616
2005-08-11,68.3294,69.3569,67.917,68.7403,576207.55691437
2005-08-12,67.917,68.7403,67.7111,67.917,236716.25132477
2005-08-16,68.3294,68.528,67.3035,67.7111,695418.64156687
2005-08-17,67.917,67.917,67.0977,67.917,241291.38211709
2005-08-18,67.917,67.917,66.8869,67.7111,314352.24411174
2005-08-19,67.917,67.917,66.6828,67.5077,238179.35164043
2005-08-22,67.0977,68.3294,67.0977,68.3294,149372.50741714
2005-08-23,68.1212,68.1212,67.0977,67.3035,106373.95893628
2005-08-24,67.5077,68.1212,67.3035,67.5077,570633.90041975
2005-08-25,67.3035,67.5077,66.2736,66.2736,527694.8174894
2005-08-26,66.2736,66.8869,65.8635,66.4777,317897.87756086
2005-08-29,66.0693,66.8869,66.0693,66.6828,76914.972987039
2005-08-30,66.2736,68.3294,66.2736,67.5077,677816.83861608
2005-08-31,67.917,68.1212,66.4777,66.8869,815131.4668018
2005-09-01,67.3035,69.9737,67.3035,69.1519,1352455.9868768
2005-09-02,69.3569,69.9737,67.3035,67.917,1108880.1365277
2005-09-05,67.7111,69.1519,67.7111,68.1212,246565.2331279
2005-09-06,67.7111,69.562,67.7111,69.562,214152.79150335
2005-09-07,69.9737,70.5976,69.1519,70.3854,680111.21777324
2005-09-08,69.9737,71.2135,69.1519,69.3569,641141.46033939
2005-09-09,69.1519,71.6252,69.1519,71.0076,178063.39667231
2005-09-12,71.6252,73.4809,71.6252,73.4809,262913.30405545
2005-09-13,73.6868,73.6868,72.2483,73.2751,330811.81294649
2005-09-14,73.0709,73.2751,71.6252,73.2751,293063.57702936
2005-09-15,72.2483,74.5117,72.2483,72.865,549200.286058
2005-09-16,73.6868,75.9541,73.0709,75.1228,955129.47795426
2005-09-19,76.1527,77.5952,75.7411,76.9769,1168076.8531942
2005-09-20,78.8359,78.8359,74.0993,76.5652,661489.82840434
2005-09-21,76.5652,76.5652,74.5117,74.5117,846822.88862642
2005-09-22,74.5117,75.3286,73.8934,74.0993,563552.54444658
2005-09-23,73.8934,74.5117,72.6527,74.5117,248351.67737445
2005-09-26,74.9233,77.8018,73.6868,76.1527,766633.59376446
2005-09-27,75.9541,76.5652,75.1228,75.5345,194441.20037511
2005-09-28,76.771,76.9769,72.4533,73.6868,577517.03789121
2005-09-29,73.6868,74.0993,72.0425,72.0425,274715.97696593
2005-09-30,72.865,74.5117,72.865,74.0993,603114.47965425
2005-10-03,74.7175,75.9541,73.2751,75.1228,183725.01262706
2005-10-04,75.3286,75.3286,73.8934,75.1228,118584.21864089
2005-10-05,74.0993,76.5652,73.2751,75.5345,768975.04981577
2005-10-06,74.9233,75.1228,71.6252,73.8934,672080.8907232
2005-10-07,73.6868,73.6868,71.6252,71.6252,451493.43110847
2005-10-10,72.865,73.0709,70.3854,70.8026,222627.87131658
