Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zwrot,Beta
2005-03-23,54.3352,56.1893,53.93,56.1893,423938.58164116,0.011068085550489437,1.1981122496376264
2005-03-24,56.1893,56.3943,54.9551,54.9551,332968.6780181,-0.021965036047788433,1.178436371034914
2005-03-29,55.1601,55.1601,54.1293,54.7494,464964.85603013,-0.0037430556945579063,1.1507021765561698
2005-03-30,54.5442,55.78,54.3352,54.9551,386005.75474433,0.0037571187994753785,1.146476816146804
2005-03-31,55.5742,58.2476,55.5742,57.4235,1420942.9569448,0.044916668334694876,1.1441855412235507
2005-04-01,57.6333,58.6569,56.1893,56.3943,317271.01154924,-0.017922975785174988,1.1872039841603537
2005-04-04,56.5978,56.8084,55.78,56.3943,324942.06756496,0.0,1.21177303236618
2005-04-05,56.3943,57.4235,55.9843,57.4235,480465.54286292,0.018250071372461374,1.1835467814893437
2005-04-06,57.0126,57.4235,56.5978,57.2176,260317.88054884,-0.003585640025425163,1.2026883962911026
2005-04-07,57.2176,57.2176,55.78,55.9843,227339.27732882,-0.021554556639915012,1.1441369694926973
2005-04-11,55.9843,56.8084,55.78,56.8084,553879.48156371,0.014720198341320767,1.1415119005698475
2005-04-12,57.0126,57.2176,56.3943,56.3943,164648.95956989,-0.007289414945677031,1.1433846755916244
2005-04-13,57.0126,57.0126,56.1893,56.5978,257029.93115192,0.0036085207192926294,1.1389994410200097
2005-04-14,56.3943,57.2176,55.9843,56.3943,245234.69143525,-0.0035955461166334857,1.0771298084825234
2005-04-15,55.9843,55.9843,55.5742,55.9843,237951.40036348,-0.007270238304225796,1.0545654739830854
2005-04-18,55.1601,55.3692,54.7494,54.9551,174262.55690224,-0.01838372543731004,1.0555203073769868
2005-04-19,54.9551,55.9843,54.7494,55.5742,445726.51157469,0.011265560430242072,1.1178420747968332
2005-04-20,55.9843,55.9843,54.3352,54.9551,372194.88063851,-0.011140061395395584,1.1171963903301436
2005-04-21,54.9551,55.9843,54.9551,55.9843,284657.87369173,0.018728016144088366,1.132094704646063
2005-04-22,56.1893,56.5978,55.9843,56.1893,332242.70275563,0.0036617408809256347,1.1377704952226475
2005-04-25,55.5742,57.0126,55.5742,56.5978,251870.05577959,0.00727006743276748,1.1254276459084036
2005-04-26,55.5742,56.1893,54.7494,55.1601,400822.58774626,-0.025402047429405328,1.3243065706931658
2005-04-27,55.1601,55.1601,53.93,54.1293,203072.37725843,-0.018687420798729537,1.3859485272566447
2005-04-28,54.5442,54.9551,52.8944,53.5159,265478.9947868,-0.011332125115233294,1.2879473724513502
2005-04-29,53.93,54.7494,53.5159,53.5159,508040.21418039,0.0,1.3235751791486117
2005-05-02,53.5159,54.3352,53.3076,53.5159,205758.23795644,0.0,1.3238597493409285
2005-05-04,54.3352,55.1601,54.1293,54.7494,792322.71158453,0.02304922462296255,1.421320722025763
2005-05-05,55.1601,55.9843,54.1293,54.5442,213848.03055699,-0.0037479862793017293,1.4481288320561552
2005-05-06,54.7494,54.9551,53.7193,54.3352,301365.21565361,-0.0038317547970269095,1.4111257337935559
2005-05-09,54.9551,55.5742,54.7494,54.9551,337075.51760015,0.011408810494854205,1.2720041623434846
2005-05-10,55.1601,55.3692,53.3076,53.93,907931.17496867,-0.018653409783623398,1.219732588800875
2005-05-11,51.2509,52.0759,51.0434,51.0434,286109.82421667,-0.0535249397366957,1.22214038567568
2005-05-12,51.4551,52.0759,51.4551,51.8676,216786.61984466,0.016147043496318902,1.2254846822161356
2005-05-13,51.8676,52.0759,51.0434,51.0434,441376.85432805,-0.015890459554712466,1.2610439354150924
2005-05-16,51.2509,51.6626,50.8392,51.0434,82213.601310556,0.0,1.28743871980821
2005-05-17,51.4551,52.4835,51.0434,52.4835,325098.16463504,0.02821324598283037,1.100651730807083
2005-05-18,52.4835,54.3352,52.2793,54.1293,618001.92799741,0.03135842693417934,1.1574717626953417
2005-05-19,54.3352,54.5442,53.7193,54.3352,99780.71602355,0.0038038548438645847,1.2150350330001134
2005-05-20,54.3352,55.3692,54.1293,54.3352,410650.50883358,0.0,1.1781778108515746
2005-05-23,54.1293,54.1293,52.8944,53.7193,588789.47630966,-0.011335193392128962,1.2227201760113093
2005-05-24,53.93,53.93,52.4835,53.5159,505235.42238137,-0.0037863486679833303,1.18371891930879
2005-05-25,53.5159,53.93,53.3076,53.5159,264050.58270894,0.0,1.1634673723217237
2005-05-27,53.93,56.3943,53.93,56.3943,1406678.6580163,0.05378588419516439,1.1619407994571354
